"Qty";"Parts";"AKIZUKI";"DIGIKEY";"MOUSER"
"1";"IC3";"I-05448";"LDO5_3.3_SOT23";"LDO5_3.3_SOT23"
"1";"IC1";"1265-1137-1-ND";"AT25XE011_SOP";"IC_MEMORY_8P_AT25XE011_SOP"
"1";"L1";"445-6385-1-ND";"2.2u/1608";"INDUCTOR_2.2U_1608"
"3";"C4, C5, C10";"490-3261-1-ND";"0.1u/1005";"C_SMD_0.1U_1005"
"4";"C1, C2, C3, C9";"490-3890-1-ND";"1.0u/1005";"C_SMD_1.0U_1005"
"1";"Q1";"728-1076-1-ND";"32.768k";"CRYSTAL2_32.768K_FC-135"
"1";"Q2";"887-1833-1-ND";"16M/2520";"CRYSTAL4_16M_2520"
"1";"IC2";"NC7SZ00M5XCT-ND";"NC7SZ00M5XCT-ND";"74LVC1G00DBV"
"1";"R1";"P10.0KLCT-ND";"10k/1005";"R_US_10K_1005"
"1";"U1";"724-DA14583-01AT2";"DA14583-AT2";"DA14583AT2"
"0";"X1, X2";"SSW-114-02-S-S";"SSW-114-02-S-S";"SSW-114-02-S-S"
"0";"U$1";"ANT_IFA";"ANT_IFA";"ANT_IFA_V2"
"0";"CON1";"CON_TC2030-CTL-NL";"CON_TC2030-CTL-NL";"CON_TC2030-IDC-NL"
"0";"U$2";"ICON_OSHW";"ICON_OSHW";"ICON_OSHW"
"0";"C6";"490-5921-1-ND";"NM";"C_SMD_10P_1005"
"0";"C7, C8";"NM";"C_SMD__1005";"C0402"
"0";"TP1, TP2";"TESTPAD";"TESTPAD";"TP06RECT"
"0";"TP91, TP92, TP93";"TESTPAD_F";"TESTPAD_F";"FIDUCIAL"
"0";"TP3";"TPPAD1-13";"TPPAD1-13";"P1-13"
